id,userid,text,modelo,sentimento,score,created_on
1,0,44º evento anual espectador vinho demonstrar poder de o vinho unir pessoa todo mundo tempo dividir,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.4924834668636322,2025-10-30 00:12:39.363129
2,0,aconcheguer se sopa outonal saudável robusta taça vinho branco seco vermute,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5248396992683411,2025-10-30 00:12:39.363129
3,0,em o segundo temporada de o programa de o Netflix Duquesa Sussex fazer parceria chefs famoso em o cozinha visita Jonata enólogo Matt Dees equipe Vinhedo Rita Hills,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.8367523550987244,2025-10-30 00:12:39.363129
4,0,querido dr Vinny vinho branco normalmente envelhecir carvalho novo Carvalho neutro carvalho jeanette ennis texa querer jeanette deixe me voltar pouco explicar recipiente usar em primeiro lugar barris Carvalho novo exatamente parecer novo talvez usar apeno dois ano barril novo poder transmitir sabor forte de o próprio barril incluir nota especiaria cedro creamr soda coco baunilha claro existir variável que poder afetar quantidade sabor transmitir incluir origem de o carvalho tanoaria barril construir nível torrada usar barris pequeno aumentarão proporção carvalho vinho ter grande influência em o sabor barri grande suti três quatro ano uso barril perder potência termos quanto sabor imprimir a o vinho ainda utilidade barri usado neutro embora transmitar sabor ainda poder ajudar melhorar textura vinho afinal barri dever apertar suficiente deixar passar líquido permitir exposição pequeno a o ar permitir pequeno quantidade Oxigênio interaja vinho pequeno controlar exposição a o oxigênio poder ajudar suavizar vinho arredondar borda bom razão usar barris carvalho estilisticamente fermentação envelhecimento vinho branco aço inoxidável realçar sabor frutar vibrante acidez crocante de o vinho barris novo bastante caro pensar US 1 000 cada caro então usar barri neutro poder forma produtor vinho economizar dinheiro cobrar pouco vinho devar ressaltar existir outro vaso comumente utilizar incluir concreto cimento porcelano barri fazer madeira carvalho barri acácia castanha ter seguidor notável no mundo de o vinho tornar difícil responder a o pergunta produtor vinho usar vários recipiente envelhecer vinho tão incomum descobrir porção vinho fazer aço inoxidável outro porção carvalho novo ainda outro porção carvalho neutro em o final enólogo misturar diferente componente aumentar complexidade bom notícia produtor vinho tender transparente sobre prática acessar site de eles encontrar ficha produto vinho safra pensar geralmente informação ali dito vinho leve crocante dar água em o boca vibrante bom chance ter ver interior barril novo vinho pinot Grigio Sauvignon blanc riesling albariño geralmente enquadr em este categoria poder encontrar engarrafamento de esse outro uva ter textura pesado sabor redor apresentar nenhum nota típico carvalho baunilha especiaria cozimento pista vinho poder ter passar algum tempo carvalho neutro vinho rico cremoso ter toque tostar cristalizar achar ver por o menos pouco carvalho novo viognier chardonnay especialmente Borgonha branco estilo tradicional de o Califórnia enquadrarer em este categoria prestar atenção a o tendência recente vinho branco poder notar vinho moderno caminhar direção a o frescor geralmente alcançar colher uva cedo usar pouco carvalho novo chardonnay especialmente de o Califórnia de o Austrália em este categoria de o bom vinho ainda apresentar algum carvalho influência leve pouco carvalho novo tosta leve combinação levar transparência acidez energético Dr Viny,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.522639274597168,2025-10-30 00:12:39.363129
5,0,James Wellesley Stephen Burton oferecer investidor involuntário oportunidade fazer empréstimo juro elevar garantir vinho raro tanto vinho mutuário revelar se fictício,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.7277716994285583,2025-10-30 00:12:39.363129
6,0,querido dr vinny dever refrigerar garrafa vinho tinto abri la dizer sim amigo dizer nunca dever refrigerar vinho tinto John puntar gorda fla querido John querer conservar garrafa vinho abrir importar cor estilo recomendar sempre colocar ela em o geladeira manter garrafa abrir fria retardar oxidação poder fazer sabor de o vinho desapareçar pareçam opaco adquir nota indesejável de noz cozir embora geladeira de o cozinha local ideal armazenar garrafa fechar longo prazo frio rolha poder secar local perfeito garrafa aberto quanto tempo garrafa permanecer fresco vinho jovem desaparecer lentamente de o vinho velho claro próprio sensibilidade coisa entrar jogo algum dia geralmente descubro vinho perder charme em o geladeira ter amigo cuidar garrafa abrir semana algum estilo resistente a o oxidação de o outro então conselho experimentar descobrir funcionar bom vinho Devo observar vinho ficar abrir expor a o ar mês perfeitamente seguro beber então mal nenhum tentar gole ver gostar querer guardar garrafa aberto algum dia semana considerar método preservação coravin claro provavelmente ir querer deixar vinho tinto esquentar pouco poder apreciar ele bom tentar tirar garrafa de o geladeira pouco antes servir atingir temperatura ideal servir vinho ainda pouco frio pronto taça experimente colocar mão volta de o taça dever ajudar vinho esquentar rápido danem se impressão digital Dr Viny,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.49132490158081055,2025-10-30 00:12:39.363129
7,0,265 vinicultor comparecer servir vinho classificação 90 ponto em o noite abertura de o evento anual degustação três dia espectador vinho,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.839865505695343,2025-10-30 00:12:39.363129
8,0,dentro de o venetian em o Las Vegas Strip novo local de o criador tendência vinho carne repleto garrafa grande além de isso José Andrés abrir próprio churrascaria Txula Nova York Che Fico expander São Francisco,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.6834790706634521,2025-10-30 00:12:39.363129
9,0,destino Manhattan Brooklyn combinar vibração descontraír programa bebida premiar restaurante espectador vinho,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.8229913711547852,2025-10-30 00:12:39.363129
10,0,forçar sair de o vinícola homônimo família liderar mudança alto qualidade começar viansa la chertosa,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.46902233362197876,2025-10-30 00:12:39.363129
11,0,querido dr Viny entender simplesmente consigar colocar rolha volta em o garrafa puxar ela fazer errar Jay Parma Heights ohio querido Jay fazer nada errar em o verdade rolha intencionalmente cortar grande de o abertura garrafa vinho comprimir antes inserir em o gargalo de o garrafa fechar tão bem rolha retirar todo esmagamento desaparecer rolha assumir tamanho natural acontecer imediatamente deixar rolha durante noite notar provavelmente caber novamente ajuda dever acrescentar algum rolha parecer encaixar melhor de o outro fato de o vida de o vinho achar virar rolha cabeça baixo modo parte em o garrafa agora ficar cima facilitar entrada de o rolha especialmente fizer algum hora após abertura de o vinho claro estourar rolha vinho tinto escuro poder querer limpar ele primeiro correr risco deixar mão pouco roxa tentar empurrar rolha totalmente dentro apenas metade bastar de esse forma poder abri lo novamente facilmente variedade rolha vinho relativamente acessível reutilizável problema encontrar regularmente apenas certifique se encontrar bonito seguro em o gargalo de o garrafa dever mencionar rolha espumante entrar em o garrafa parecer cogumelo a o medida começar expandir volta a o forma original praticamente impossível reutilizar colocar rolha vinho normal outro garrafa garrafa bolha gás poder acumular dentro de o garrafa fazer rolha voar bom aposta conseguir algum rolha garrafa vinho espumante adorar tipo articular Dr Viny,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5042330026626587,2025-10-30 00:12:39.363129
12,0,principal nome de o Itália participar de o degustação anual durante Vinitaly in Verona de o grande evento vinho de o mundo,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.5096142292022705,2025-10-30 00:12:39.363129
13,0,grande vencedor destacar em o cenário gastronômico alto calibre de o cidade lista vinho oferecer 1 600 seleção cada,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.7468031048774719,2025-10-30 00:12:39.363129
14,0,pesquisa mostrar consumo equilibrar moderar vinho poder saudável defensor de o anti álcool abafam,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5806840658187866,2025-10-30 00:12:39.363129
15,0,dever ter óbvio vinícola Napa baixar preço safra pequeno,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.45819708704948425,2025-10-30 00:12:39.363129
16,0,frequentemente esquecer uva muscardin de o Ródano ganhar atenção em o Califórnia,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.4928456246852875,2025-10-30 00:12:39.363129
17,0,casa chop de o próximo onda tela amplo variedade cozinha vinho,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.7949658036231995,2025-10-30 00:12:39.363129
